DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:32.672477; ;128.1.77.226.1968;52.94.225.248;http:;S;1375788043:1375788163; ;512; ; ; ;120:
07:48:32.672497; ;128.1.77.226.1969;52.94.225.248;http:;S;105553307:105553427; ;512; ; ; ;120:
07:48:32.672517; ;128.1.77.226.1970;52.94.225.248;http:;S;1734552215:1734552335; ;512; ; ; ;120:
07:48:32.672536; ;128.1.77.226.1971;52.94.225.248;http:;S;466688008:466688128; ;512; ; ; ;120:
07:48:32.672556; ;128.1.77.226.1972;52.94.225.248;http:;S;1540091907:1540092027; ;512; ; ; ;120:
07:48:32.672573; ;128.1.77.226.1973;52.94.225.248;http:;S;1176067101:1176067221; ;512; ; ; ;120:
07:48:32.672589; ;128.1.77.226.1974;52.94.225.248;http:;S;1186655133:1186655253; ;512; ; ; ;120:
07:48:32.672606; ;128.1.77.226.1975;52.94.225.248;http:;S;1661482076:1661482196; ;512; ; ; ;120:
07:48:32.672622; ;128.1.77.226.1976;52.94.225.248;http:;S;904105912:904106032; ;512; ; ; ;120:
07:48:32.672639; ;128.1.77.226.1977;52.94.225.248;http:;S;1441370624:1441370744; ;512; ; ; ;120:
07:48:32.672655; ;128.1.77.226.1978;52.94.225.248;http:;S;1214929973:1214930093; ;512; ; ; ;120:
07:48:32.672672; ;128.1.77.226.1979;52.94.225.248;http:;S;869863674:869863794; ;512; ; ; ;120:
07:48:32.672689; ;128.1.77.226.1980;52.94.225.248;http:;S;2104439890:2104440010; ;512; ; ; ;120:
07:48:32.672705; ;128.1.77.226.1981;52.94.225.248;http:;S;571545751:571545871; ;512; ; ; ;120:
07:48:32.672721; ;128.1.77.226.1982;52.94.225.248;http:;S;538614830:538614950; ;512; ; ; ;120:
07:48:32.672738; ;128.1.77.226.1983;52.94.225.248;http:;S;922327849:922327969; ;512; ; ; ;120:
07:48:32.672754; ;128.1.77.226.1984;52.94.225.248;http:;S;1122193171:1122193291; ;512; ; ; ;120:
07:48:32.672778; ;128.1.77.226.1985;52.94.225.248;http:;S;974292982:974293102; ;512; ; ; ;120:
07:48:32.672803; ;128.1.77.226.1986;52.94.225.248;http:;S;1900341068:1900341188; ;512; ; ; ;120:
07:48:32.672821; ;128.1.77.226.1987;52.94.225.248;http:;S;771919932:771920052; ;512; ; ; ;120:
07:48:32.672838; ;128.1.77.226.1988;52.94.225.248;http:;S;464272281:464272401; ;512; ; ; ;120:
07:48:32.672855; ;128.1.77.226.1989;52.94.225.248;http:;S;878197625:878197745; ;512; ; ; ;120:
07:48:32.672872; ;128.1.77.226.1990;52.94.225.248;http:;S;8727494:8727614; ;512; ; ; ;120:
07:48:32.672888; ;128.1.77.226.1991;52.94.225.248;http:;S;568911422:568911542; ;512; ; ; ;120:
07:48:32.672905; ;128.1.77.226.1992;52.94.225.248;http:;S;1313931393:1313931513; ;512; ; ; ;120:
07:48:32.672921; ;128.1.77.226.1993;52.94.225.248;http:;S;2098586864:2098586984; ;512; ; ; ;120:
